時間,國內/國外,進港/出港,臺灣港口,國籍,重量(公噸)
096年07月,國外,進港,基隆港,日本,296
096年07月,國外,進港,基隆港,高棉,33101
096年07月,國外,進港,基隆港,北韓,10050
096年07月,國外,進港,基隆港,韓國,33961
096年07月,國外,進港,基隆港,開曼群島,24
096年07月,國外,進港,基隆港,賴比瑞亞,110163
096年07月,國外,進港,基隆港,馬紹爾群島,27503
096年07月,國外,進港,基隆港,蒙古,1409
096年07月,國外,進港,基隆港,馬爾他,27783
096年07月,國外,進港,基隆港,馬來西亞,4924
096年07月,國外,進港,基隆港,荷蘭,189
096年07月,國外,進港,基隆港,挪威,46
096年07月,國外,進港,基隆港,巴拿馬,616426
096年07月,國外,進港,基隆港,沙烏地阿拉伯,10627
096年07月,國外,進港,基隆港,新加坡,114886
096年07月,國外,進港,基隆港,泰國,6485
096年07月,國外,進港,基隆港,吐瓦魯,10166
096年07月,國內,進港,基隆港,台灣，中華民國,682855
096年07月,國外,進港,基隆港,聖文森,41368
096年07月,國外,進港,基隆港,越南,14087
096年07月,國外,進港,基隆港,萬那杜,1029
096年07月,國外,出港,基隆港,安地卡及巴布達,33377
096年07月,國外,出港,基隆港,荷屬安地列斯,5513
096年07月,國外,出港,基隆港,巴哈馬,6550
096年07月,國外,出港,基隆港,貝里斯,0
096年07月,國外,出港,基隆港,賽普勒斯,9080
096年07月,國外,出港,基隆港,德國,8430
096年07月,國外,出港,基隆港,丹麥,0
096年07月,國外,出港,基隆港,英國,5400
096年07月,國外,出港,基隆港,希臘,2682
096年07月,國外,出港,基隆港,香港,52676
096年07月,國外,出港,基隆港,以色列,2876
096年07月,國外,出港,基隆港,義大利,4914
096年07月,國外,出港,基隆港,日本,680
096年07月,國外,出港,基隆港,高棉,0
096年07月,國外,出港,基隆港,北韓,0
096年07月,國外,出港,基隆港,韓國,14530
096年07月,國外,出港,基隆港,開曼群島,0
096年07月,國外,出港,基隆港,賴比瑞亞,118378
096年07月,國外,出港,基隆港,馬紹爾群島,33989
096年07月,國外,出港,基隆港,蒙古,0
096年07月,國外,出港,基隆港,馬爾他,1846
096年07月,國外,出港,基隆港,馬來西亞,0
096年07月,國外,出港,基隆港,荷蘭,1795
096年07月,國外,出港,基隆港,挪威,0
096年07月,國外,出港,基隆港,巴拿馬,180385
096年07月,國外,出港,基隆港,沙烏地阿拉伯,0
096年07月,國外,出港,基隆港,新加坡,108215
096年07月,國外,出港,基隆港,泰國,4179
096年07月,國外,出港,基隆港,吐瓦魯,0
096年07月,國內,出港,基隆港,台灣，中華民國,49049
096年07月,國外,出港,基隆港,聖文森,20825
096年07月,國外,出港,基隆港,越南,26
096年07月,國外,出港,基隆港,萬那杜,2340
096年08月,國外,進港,基隆港,安地卡及巴布達,19772
096年08月,國外,進港,基隆港,荷屬安地列斯,372
096年08月,國外,進港,基隆港,巴哈馬,27954
096年08月,國外,進港,基隆港,貝里斯,26156
096年08月,國外,進港,基隆港,賽普勒斯,60018
096年08月,國外,進港,基隆港,德國,5288
096年08月,國外,進港,基隆港,英國,9268
096年08月,國外,進港,基隆港,希臘,2323
096年08月,國外,進港,基隆港,香港,133132
096年08月,國外,進港,基隆港,克羅埃西亞,0
096年08月,國外,進港,基隆港,以色列,4942
096年08月,國外,進港,基隆港,印度,1167
096年08月,國外,進港,基隆港,義大利,71
096年08月,國外,進港,基隆港,日本,173
096年08月,國外,進港,基隆港,高棉,23797
096年08月,國外,進港,基隆港,北韓,5642
096年08月,國外,進港,基隆港,韓國,21559
096年08月,國外,進港,基隆港,賴比瑞亞,114708
096年08月,國外,進港,基隆港,馬紹爾群島,73091
096年08月,國外,進港,基隆港,馬爾他,2972
096年08月,國外,進港,基隆港,馬來西亞,1683
096年08月,國外,進港,基隆港,荷蘭,72
096年08月,國外,進港,基隆港,挪威,16
096年08月,國外,進港,基隆港,巴拿馬,463314
096年08月,國外,進港,基隆港,沙烏地阿拉伯,4752
096年08月,國外,進港,基隆港,新加坡,99777
096年08月,國外,進港,基隆港,泰國,9300
096年08月,國外,進港,基隆港,吐瓦魯,3840
096年08月,國內,進港,基隆港,台灣，中華民國,615796
096年08月,國外,進港,基隆港,聖文森,16724
096年08月,國外,進港,基隆港,萬那杜,261
096年08月,國外,出港,基隆港,安地卡及巴布達,34608
096年08月,國外,出港,基隆港,荷屬安地列斯,5002
096年08月,國外,出港,基隆港,巴哈馬,8148
096年08月,國外,出港,基隆港,貝里斯,0
096年08月,國外,出港,基隆港,賽普勒斯,16667
096年08月,國外,出港,基隆港,德國,6095
096年08月,國外,出港,基隆港,英國,11010
096年08月,國外,出港,基隆港,希臘,3750
096年08月,國外,出港,基隆港,香港,49463
096年08月,國外,出港,基隆港,克羅埃西亞,24
096年08月,國外,出港,基隆港,以色列,4305
096年08月,國外,出港,基隆港,印度,2408
096年08月,國外,出港,基隆港,義大利,16
096年08月,國外,出港,基隆港,日本,363
096年08月,國外,出港,基隆港,高棉,161
096年08月,國外,出港,基隆港,北韓,0
096年08月,國外,出港,基隆港,韓國,11278
096年08月,國外,出港,基隆港,賴比瑞亞,99848
096年08月,國外,出港,基隆港,馬紹爾群島,32552
096年08月,國外,出港,基隆港,馬爾他,3338
096年08月,國外,出港,基隆港,馬來西亞,940
096年08月,國外,出港,基隆港,荷蘭,1607
096年08月,國外,出港,基隆港,挪威,0
096年08月,國外,出港,基隆港,巴拿馬,153193
096年08月,國外,出港,基隆港,沙烏地阿拉伯,0
096年08月,國外,出港,基隆港,新加坡,111911
096年08月,國外,出港,基隆港,泰國,4707
096年08月,國外,出港,基隆港,吐瓦魯,0
096年08月,國內,出港,基隆港,台灣，中華民國,87364
096年08月,國外,出港,基隆港,聖文森,13134
096年08月,國外,出港,基隆港,萬那杜,63
096年09月,國外,進港,基隆港,安地卡及巴布達,25139
096年09月,國外,進港,基隆港,荷屬安地列斯,453
096年09月,國外,進港,基隆港,巴哈馬,11964
096年09月,國外,進港,基隆港,貝里斯,4096
096年09月,國外,進港,基隆港,賽普勒斯,15124
096年09月,國外,進港,基隆港,德國,5201
096年09月,國外,進港,基隆港,英國,11355
096年09月,國外,進港,基隆港,希臘,2856
096年09月,國外,進港,基隆港,香港,140161
096年09月,國外,進港,基隆港,以色列,5523
096年09月,國外,進港,基隆港,印度,3779
096年09月,國外,進港,基隆港,義大利,971
096年09月,國外,進港,基隆港,日本,133
096年09月,國外,進港,基隆港,高棉,36042
096年09月,國外,進港,基隆港,北韓,7440
096年09月,國外,進港,基隆港,韓國,25800
096年09月,國外,進港,基隆港,開曼群島,24
096年09月,國外,進港,基隆港,賴比瑞亞,129118
096年09月,國外,進港,基隆港,馬紹爾群島,21475
096年09月,國外,進港,基隆港,蒙古,4856
096年09月,國外,進港,基隆港,馬爾他,37063
096年09月,國外,進港,基隆港,馬來西亞,1952
096年09月,國外,進港,基隆港,荷蘭,290
096年09月,國外,進港,基隆港,巴拿馬,693110
096年09月,國外,進港,基隆港,菲律賓,1547
096年09月,國外,進港,基隆港,新加坡,110727
096年09月,國外,進港,基隆港,獅子山,1900
096年09月,國外,進港,基隆港,泰國,13022
096年09月,國外,進港,基隆港,吐瓦魯,11469
096年09月,國內,進港,基隆港,台灣，中華民國,640210
096年09月,國外,進港,基隆港,聖文森,18199
096年09月,國外,進港,基隆港,越南,306
096年09月,國外,出港,基隆港,安地卡及巴布達,22760
096年09月,國外,出港,基隆港,荷屬安地列斯,4768
096年09月,國外,出港,基隆港,巴哈馬,10696
096年09月,國外,出港,基隆港,貝里斯,0
096年09月,國外,出港,基隆港,賽普勒斯,13166
096年09月,國外,出港,基隆港,德國,7168
096年09月,國外,出港,基隆港,英國,9636
096年09月,國外,出港,基隆港,希臘,2375
096年09月,國外,出港,基隆港,香港,58189
096年09月,國外,出港,基隆港,以色列,3570
096年09月,國外,出港,基隆港,印度,7301
096年09月,國外,出港,基隆港,義大利,4329
096年09月,國外,出港,基隆港,日本,431
096年09月,國外,出港,基隆港,高棉,0
096年09月,國外,出港,基隆港,北韓,0
096年09月,國外,出港,基隆港,韓國,19676
096年09月,國外,出港,基隆港,開曼群島,0
096年09月,國外,出港,基隆港,賴比瑞亞,118881
096年09月,國外,出港,基隆港,馬紹爾群島,31704
096年09月,國外,出港,基隆港,蒙古,0
096年09月,國外,出港,基隆港,馬爾他,2486
096年09月,國外,出港,基隆港,馬來西亞,1848
096年09月,國外,出港,基隆港,荷蘭,1488
096年09月,國外,出港,基隆港,巴拿馬,141470
096年09月,國外,出港,基隆港,菲律賓,0
096年09月,國外,出港,基隆港,新加坡,114324
096年09月,國外,出港,基隆港,獅子山,0
096年09月,國外,出港,基隆港,泰國,4379
096年09月,國外,出港,基隆港,吐瓦魯,0
096年09月,國內,出港,基隆港,台灣，中華民國,87725
096年09月,國外,出港,基隆港,聖文森,11416
096年09月,國外,出港,基隆港,越南,0
096年10月,國外,進港,基隆港,安地卡及巴布達,14248
096年10月,國外,進港,基隆港,荷屬安地列斯,401
096年10月,國外,進港,基隆港,巴哈馬,18112
096年10月,國外,進港,基隆港,貝里斯,18694
096年10月,國外,進港,基隆港,賽普勒斯,10993
096年10月,國外,進港,基隆港,德國,15268
096年10月,國外,進港,基隆港,英國,11676
096年10月,國外,進港,基隆港,希臘,3646
