時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,船舶運能,艘次
2021/3/13 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,德意志（德國）,6000~10000TEU,1
2015/10/20 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,橫濱港,高雄港,全貨櫃船,安地卡,6000~10000TEU,1
2019/9/1 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/11/13 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/11/3 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/12/10 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/12/2 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/10/29 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/10/22 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/11/19 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2020/1/7 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,神戶,高雄港,全貨櫃船,香港,3000TEU以下,1
2019/2/10 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,神戶,高雄港,全貨櫃船,巴哈馬,3000~6000TEU,1
2018/12/21 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,神戶,高雄港,全貨櫃船,巴哈馬,3000~6000TEU,1
2018/9/1 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,神戶,高雄港,全貨櫃船,巴哈馬,3000~6000TEU,1
2018/9/9 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,神戶,高雄港,全貨櫃船,巴哈馬,3000~6000TEU,1
2018/10/30 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,神戶,高雄港,全貨櫃船,巴哈馬,3000~6000TEU,1
2018/10/28 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,神戶,高雄港,全貨櫃船,巴哈馬,3000~6000TEU,1
2015/2/11 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),日本,橫濱港,高雄港,全貨櫃船,賴比瑞亞,10000~14000TEU,1
2015/3/18 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,橫濱港,高雄港,全貨櫃船,新加坡,10000~14000TEU,1
2015/3/1 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),日本,橫濱港,高雄港,全貨櫃船,新加坡,10000~14000TEU,1
2015/2/10 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,橫濱港,高雄港,全貨櫃船,香港,6000~10000TEU,1
2015/3/3 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,橫濱港,高雄港,全貨櫃船,香港,6000~10000TEU,1
2017/4/11 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),印度,蒙得拉,高雄港,全貨櫃船,巴拿馬,3000TEU以下,1
2016/6/4 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),斯里蘭卡,可倫坡,高雄港,全貨櫃船,伊朗,3000TEU以下,1
2017/6/17 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),斯里蘭卡,可倫坡,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
2017/8/4 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),斯里蘭卡,可倫坡,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
2017/8/5 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),斯里蘭卡,可倫坡,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
2017/9/8 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),斯里蘭卡,可倫坡,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
2017/6/9 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),斯里蘭卡,可倫坡,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
