時間,來源港國家,來源港口,目的港國家,目的港口,轉運港口,貨櫃量,TEU數
2018/7/20 上午 12:00:00,印度尼西亞,泗水港,汶萊,麻拉 (穆阿拉),高雄港,1,1
2018/7/20 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,亞庇(哥打京那巴魯),高雄港,6,11
2018/7/20 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,詩巫,高雄港,1,2
2018/7/20 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,7,7
2018/7/20 上午 12:00:00,馬來西亞,平多羅,菲律賓,馬尼拉,高雄港,2,2
2018/8/24 上午 12:00:00,新加坡,新加坡港,澳大利亞,墨爾本,高雄港,2,4
2018/8/2 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉南港,高雄港,14,14
2018/8/21 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,20,38
2018/8/21 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉南港,高雄港,2,4
2018/8/21 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,2,2
2018/8/25 上午 12:00:00,新加坡,新加坡港,越南,胡志明,高雄港,8,16
2018/8/25 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,4,6
2018/8/26 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,Batangas/Luzon,高雄港,2,2
2018/8/26 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,8,16
2018/8/26 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,18,24
2018/8/26 上午 12:00:00,新加坡,新加坡港,越南,胡志明,高雄港,2,2
2018/8/27 上午 12:00:00,越南,胡志明,菲律賓,馬尼拉,高雄港,21,22
2018/8/27 上午 12:00:00,越南,胡志明,菲律賓,馬尼拉北港,高雄港,285,300
2018/8/27 上午 12:00:00,越南,胡志明,菲律賓,馬尼拉南港,高雄港,90,90
2018/8/28 上午 12:00:00,澳大利亞,布里斯本,印度,盧迪亞納,高雄港,4,4
2018/8/28 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,10,10
2018/8/21 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉南港,高雄港,10,18
2018/8/21 上午 12:00:00,越南,海防,馬來西亞,檳榔嶼/檳榔嶼/檳州,高雄港,2,2
2018/8/22 上午 12:00:00,澳大利亞,布里斯本,印度,那瓦夏瓦,高雄港,12,18
2018/8/22 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,4,4
