時間,來源港國家,來源港口,目的港國家,目的港口,轉運港口,貨櫃量,TEU數
2017/1/15 上午 12:00:00,馬來西亞,巴生港,菲律賓,馬尼拉,高雄港,14,26
2017/1/15 上午 12:00:00,泰國,南查邦,菲律賓,宿移,高雄港,26,46
2017/1/16 上午 12:00:00,菲律賓,宿移,泰國,曼谷,高雄港,8,8
2017/1/16 上午 12:00:00,菲律賓,卡加延－德奧羅,印度,那瓦夏瓦,高雄港,3,3
2017/1/16 上午 12:00:00,菲律賓,卡加延－德奧羅,泰國,南查邦,高雄港,4,4
2017/2/8 上午 12:00:00,菲律賓,馬尼拉南港,菲律賓,馬尼拉,高雄港,1,2
2017/2/9 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,2,2
2017/2/9 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,10,10
2017/2/9 上午 12:00:00,澳大利亞,布里斯本,越南,胡志明,高雄港,2,2
2017/2/9 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,8,12
2017/2/9 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉南港,高雄港,14,14
2017/2/9 上午 12:00:00,澳大利亞,雪梨,印度,蒙得拉,高雄港,2,4
2017/2/9 上午 12:00:00,澳大利亞,雪梨,巴基斯坦,喀拉蚩,高雄港,40,40
2017/2/9 上午 12:00:00,澳大利亞,雪梨,巴基斯坦,喀拉蚩港,高雄港,6,12
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,雅加達,高雄港,10,10
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,泗水港,高雄港,21,21
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,印度,加爾各答,高雄港,3,3
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,印度,那瓦夏瓦,高雄港,22,22
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,2,2
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,凱西姆港,高雄港,15,15
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,1,2
2017/2/10 上午 12:00:00,澳大利亞,布里斯本,越南,胡志明,高雄港,1,2
2017/2/10 上午 12:00:00,澳大利亞,墨爾本,菲律賓,卡加延－德奧羅,高雄港,1,1
2017/2/10 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,1,1
2017/2/10 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,39,50
2017/2/10 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,8,15
2017/2/10 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,1,2
2017/2/10 上午 12:00:00,澳大利亞,雪梨,泰國,Bangkok Modern Terminals/Bangkok,高雄港,20,20
2017/2/10 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,11,14
2017/2/10 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,古晉,高雄港,3,5
2017/2/10 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,19,19
2017/2/10 上午 12:00:00,馬來西亞,平多羅,印度,科欽,高雄港,4,4
2017/2/12 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,巴生港,高雄港,6,6
2017/2/12 上午 12:00:00,印度,那瓦夏瓦,新加坡,新加坡港,高雄港,12,24
2017/2/12 上午 12:00:00,越南,緬它,新加坡,新加坡港,高雄港,2,2
2017/2/13 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,14,25
2017/2/13 上午 12:00:00,紐西蘭,陶蘭加,印度,科欽,高雄港,1,1
2017/2/13 上午 12:00:00,紐西蘭,陶蘭加,印度,馬德拉斯,高雄港,1,2
2017/2/13 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,25,32
2017/2/13 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,31,43
2017/2/13 上午 12:00:00,菲律賓,宿移,泰國,曼谷,高雄港,2,4
2017/2/13 上午 12:00:00,菲律賓,宿移,泰國,南查邦,高雄港,2,2
2017/2/13 上午 12:00:00,菲律賓,卡加延－德奧羅,澳大利亞,雪梨,高雄港,1,1
2017/2/13 上午 12:00:00,菲律賓,卡加延－德奧羅,泰國,南查邦,高雄港,4,4
2017/2/1 上午 12:00:00,澳大利亞,布里斯本,印度,蒙得拉,高雄港,4,4
2017/2/1 上午 12:00:00,澳大利亞,布里斯本,印度,那瓦夏瓦,高雄港,2,4
2017/2/1 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,44,44
2017/1/29 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,巴生港,高雄港,8,8
2017/1/29 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉北港,高雄港,160,204
2017/1/30 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,馬來西亞,丹絨柏樂巴斯,高雄港,1,2
2017/1/31 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,47,94
2017/1/31 上午 12:00:00,紐西蘭,陶蘭加,印度,馬德拉斯,高雄港,6,6
2017/1/31 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,24,24
2017/1/31 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,156,218
2017/1/31 上午 12:00:00,泰國,南查邦,菲律賓,宿移,高雄港,170,200
2017/1/31 上午 12:00:00,泰國,南查邦,菲律賓,卡加延－德奧羅,高雄港,40,40
2017/1/23 上午 12:00:00,菲律賓,宿移,泰國,曼谷,高雄港,14,22
2017/1/23 上午 12:00:00,菲律賓,宿移,泰國,南查邦,高雄港,2,4
2017/1/23 上午 12:00:00,菲律賓,卡加延－德奧羅,澳大利亞,雪梨,高雄港,12,12
2017/1/23 上午 12:00:00,菲律賓,卡加延－德奧羅,巴基斯坦,喀拉蚩,高雄港,24,24
2017/1/23 上午 12:00:00,菲律賓,卡加延－德奧羅,泰國,曼谷,高雄港,1,1
2017/1/23 上午 12:00:00,菲律賓,卡加延－德奧羅,泰國,南查邦,高雄港,4,4
2017/1/24 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,18,32
2017/1/24 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,75,87
2017/1/24 上午 12:00:00,泰國,南查邦,菲律賓,宿移,高雄港,8,16
2017/1/24 上午 12:00:00,越南,海防,馬來西亞,檳榔嶼/檳榔嶼/檳州,高雄港,6,11
2017/1/24 上午 12:00:00,越南,海防,馬來西亞,巴生港,高雄港,6,10
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,印度,加爾各答,高雄港,25,25
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,印度,馬德拉斯,高雄港,12,17
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,印度,那瓦夏瓦,高雄港,80,80
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,9,9
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,1,1
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,46,46
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,凱西姆港,高雄港,10,10
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,新加坡,新加坡港,高雄港,1,1
2017/1/26 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,87,88
2017/1/26 上午 12:00:00,澳大利亞,雪梨,澳大利亞,墨爾本,高雄港,160,226
2017/1/26 上午 12:00:00,澳大利亞,雪梨,印度,蒙得拉,高雄港,2,4
2017/1/26 上午 12:00:00,澳大利亞,雪梨,印度,那瓦夏瓦,高雄港,20,20
2017/1/26 上午 12:00:00,澳大利亞,雪梨,巴基斯坦,喀拉蚩,高雄港,30,30
2017/1/26 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,6,6
2017/2/15 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,6,6
2017/2/15 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,55,55
2017/1/27 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,古晉,高雄港,2,3
2017/1/27 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,13,13
2017/1/27 上午 12:00:00,馬來西亞,平多羅,印度,科欽,高雄港,3,3
2017/2/16 上午 12:00:00,越南,緬它,新加坡,新加坡港,高雄港,30,46
2017/2/17 上午 12:00:00,澳大利亞,布里斯本,印度,加爾各答,高雄港,40,40
2017/2/17 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,8,8
2017/2/17 上午 12:00:00,澳大利亞,布里斯本,泰國,南查邦,高雄港,2,2
2017/2/17 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,4,4
2017/2/17 上午 12:00:00,澳大利亞,布里斯本,越南,胡志明,高雄港,10,20
2017/2/17 上午 12:00:00,澳大利亞,湯斯維爾,印度尼西亞,泗水港,高雄港,4,4
2017/2/17 上午 12:00:00,澳大利亞,湯斯維爾,泰國,南查邦,高雄港,46,46
2017/2/2 上午 12:00:00,越南,緬它,新加坡,新加坡港,高雄港,50,86
2017/2/3 上午 12:00:00,澳大利亞,布里斯本,印度尼西亞,泗水港,高雄港,21,21
2017/2/3 上午 12:00:00,澳大利亞,布里斯本,印度,那瓦夏瓦,高雄港,17,17
2017/2/3 上午 12:00:00,澳大利亞,布里斯本,緬甸,仰光,高雄港,20,20
2017/2/3 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,1,1
2017/2/3 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,9,9
2017/2/3 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,凱西姆港,高雄港,15,15
2017/2/3 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,42,42
2017/2/3 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,11,13
2017/2/3 上午 12:00:00,澳大利亞,墨爾本,泰國,南查邦,高雄港,6,12
2017/2/3 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,5,10
2017/2/3 上午 12:00:00,澳大利亞,墨爾本,越南,Phuoc Long ICD,高雄港,20,20
2017/2/3 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明市,高雄港,1,2
2017/2/3 上午 12:00:00,澳大利亞,雪梨,澳大利亞,墨爾本,高雄港,24,24
2017/2/3 上午 12:00:00,澳大利亞,雪梨,菲律賓,卡加延－德奧羅,高雄港,119,119
2017/2/3 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,14,28
2017/2/3 上午 12:00:00,澳大利亞,雪梨,巴基斯坦,喀拉蚩,高雄港,5,5
2017/2/3 上午 12:00:00,澳大利亞,雪梨,泰國,曼谷,高雄港,2,2
2017/2/3 上午 12:00:00,澳大利亞,雪梨,越南,卡萊港,高雄港,38,38
2017/2/3 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,15,25
2017/2/3 上午 12:00:00,澳大利亞,雪梨,越南,胡志明,高雄港,4,6
2017/2/3 上午 12:00:00,澳大利亞,湯斯維爾,泰國,南查邦,高雄港,18,18
2017/2/4 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉北港,高雄港,106,174
2017/2/5 上午 12:00:00,印度,那瓦夏瓦,馬來西亞,平多羅,高雄港,42,42
2017/2/5 上午 12:00:00,印度,那瓦夏瓦,越南,海防,高雄港,10,18
2017/2/5 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉,高雄港,2,4
2017/2/7 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,1,1
2017/2/7 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,50,50
2017/2/7 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,3,5
2017/2/7 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,6,6
2017/2/7 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,19,25
2017/2/23 上午 12:00:00,泰國,曼谷,越南,海防,高雄港,16,32
2017/2/24 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,古晉,高雄港,3,3
2017/2/24 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,29,29
2017/2/24 上午 12:00:00,馬來西亞,平多羅,印度,科欽,高雄港,1,1
2017/2/25 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉北港,高雄港,208,254
2017/2/18 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,高雄港,2,4
2017/2/18 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉北港,高雄港,126,188
2017/2/19 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,古晉,高雄港,4,8
2017/2/19 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,2,2
2017/2/20 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,2,4
2017/2/20 上午 12:00:00,菲律賓,宿移,泰國,曼谷,高雄港,4,4
2017/2/20 上午 12:00:00,菲律賓,卡加延－德奧羅,印度,那瓦夏瓦,高雄港,2,2
2017/2/20 上午 12:00:00,菲律賓,卡加延－德奧羅,巴基斯坦,喀拉蚩,高雄港,20,20
2017/2/20 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉,高雄港,1,2
2017/2/20 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,高雄港,1,2
2017/2/21 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,34,68
2017/2/21 上午 12:00:00,紐西蘭,陶蘭加,印度,蒙得拉,高雄港,10,20
2017/2/21 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,54,54
2017/2/21 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,58,88
2017/2/22 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,Karachi-Muhammad Bin Qasim,高雄港,10,10
2017/2/22 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,90,90
2017/2/23 上午 12:00:00,澳大利亞,布里斯本,孟加拉,吉大港,高雄港,5,5
2017/2/23 上午 12:00:00,澳大利亞,布里斯本,印度,加爾各答,高雄港,10,10
2017/2/23 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,2,2
2017/2/23 上午 12:00:00,澳大利亞,布里斯本,泰國,曼谷,高雄港,2,4
2017/2/23 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,15,15
2017/2/23 上午 12:00:00,澳大利亞,墨爾本,斯里蘭卡,可倫坡,高雄港,1,2
2017/2/23 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,7,14
2017/2/23 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,8,16
2017/2/23 上午 12:00:00,澳大利亞,墨爾本,泰國,曼谷,高雄港,3,3
2017/2/23 上午 12:00:00,澳大利亞,墨爾本,泰國,萊卡邦港,高雄港,3,3
2017/2/23 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,181,202
2017/2/23 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,13,25
2017/2/23 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,4,7
2017/2/23 上午 12:00:00,澳大利亞,雪梨,巴基斯坦,喀拉蚩,高雄港,30,30
2017/2/23 上午 12:00:00,澳大利亞,雪梨,越南,Hai Phong,高雄港,40,40
2017/2/23 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,19,25
2017/2/23 上午 12:00:00,澳大利亞,雪梨,越南,胡志明,高雄港,5,5
2017/2/23 上午 12:00:00,馬來西亞,斗湖,巴基斯坦,喀拉蚩,高雄港,11,14
2017/3/2 上午 12:00:00,澳大利亞,布里斯本,孟加拉,吉大港,高雄港,36,36
2017/3/2 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,7,11
2017/3/2 上午 12:00:00,澳大利亞,布里斯本,越南,卡萊港,高雄港,2,4
2017/3/2 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,12,12
2017/3/2 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,1,1
2017/3/2 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,2,4
2017/3/2 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,1,2
2017/3/2 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉北港,高雄港,1,2
2017/3/2 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉南港,高雄港,1,2
2017/3/2 上午 12:00:00,澳大利亞,雪梨,巴基斯坦,喀拉蚩,高雄港,5,5
2017/3/2 上午 12:00:00,澳大利亞,雪梨,越南,Hai Phong,高雄港,20,20
2017/3/2 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,11,11
2017/3/2 上午 12:00:00,馬來西亞,巴生港,越南,海防,高雄港,2,2
2017/3/2 上午 12:00:00,越南,緬它,新加坡,新加坡港,高雄港,20,34
2017/3/3 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,古晉,高雄港,3,6
2017/3/3 上午 12:00:00,印度尼西亞,雅加達,菲律賓,卡加延－德奧羅,高雄港,2,4
2017/3/3 上午 12:00:00,印度尼西亞,雅加達,越南,海防,高雄港,6,12
2017/3/3 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,古晉,高雄港,4,4
2017/3/3 上午 12:00:00,馬來西亞,平多羅,印度尼西亞,雅加達,高雄港,7,8
2017/3/3 上午 12:00:00,馬來西亞,平多羅,印度,科欽,高雄港,5,5
2017/3/3 上午 12:00:00,新加坡,新加坡港,越南,海防,高雄港,2,4
2017/2/25 上午 12:00:00,越南,緬它,新加坡,新加坡港,高雄港,20,36
2017/2/26 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,高雄港,2,2
2017/2/27 上午 12:00:00,菲律賓,宿移,泰國,曼谷,高雄港,6,6
2017/2/27 上午 12:00:00,菲律賓,卡加延－德奧羅,澳大利亞,雪梨,高雄港,1,1
2017/2/27 上午 12:00:00,菲律賓,Tagoloan,澳大利亞,雪梨,高雄港,1,1
2017/2/27 上午 12:00:00,菲律賓,Tagoloan,印度,那瓦夏瓦,高雄港,10,10
2017/2/27 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉南港,高雄港,12,12
2017/2/28 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,10,16
2017/2/28 上午 12:00:00,紐西蘭,陶蘭加,印度,馬德拉斯,高雄港,20,20
2017/2/28 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,28,28
2017/2/28 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,82,96
2017/3/5 上午 12:00:00,印度尼西亞,雅加達,越南,峴港,高雄港,18,34
2017/3/5 上午 12:00:00,泰國,南查邦,菲律賓,宿移,高雄港,18,34
2017/3/5 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉南港,高雄港,12,16
2017/3/6 上午 12:00:00,印度,那瓦夏瓦,汶萊,麻拉 (穆阿拉),高雄港,2,4
2017/3/6 上午 12:00:00,印度,那瓦夏瓦,菲律賓,馬尼拉北港,高雄港,12,22
2017/3/6 上午 12:00:00,印度,那瓦夏瓦,越南,海防,高雄港,2,4
2017/3/4 上午 12:00:00,澳大利亞,湯斯維爾,巴基斯坦,喀拉蚩,高雄港,2,4
2017/3/4 上午 12:00:00,澳大利亞,湯斯維爾,泰國,曼谷,高雄港,10,10
2017/3/4 上午 12:00:00,澳大利亞,湯斯維爾,泰國,南查邦,高雄港,10,10
2017/3/4 上午 12:00:00,澳大利亞,湯斯維爾,越南,胡志明,高雄港,23,23
2017/3/7 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,2,2
2017/3/7 上午 12:00:00,紐西蘭,陶蘭加,印度,馬德拉斯,高雄港,10,10
2017/3/7 上午 12:00:00,紐西蘭,陶蘭加,印度,蒙得拉,高雄港,6,12
2017/3/7 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,18,18
2017/3/7 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,20,20
2017/3/8 上午 12:00:00,澳大利亞,布里斯本,印度,那瓦夏瓦,高雄港,7,9
2017/3/8 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,1,1
2017/3/8 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,Karachi-Muhammad Bin Qasim,高雄港,5,5
2017/3/8 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,3,3
2017/3/8 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,3,3
2017/3/8 上午 12:00:00,新加坡,新加坡港,菲律賓,馬尼拉,高雄港,1,2
2017/3/9 上午 12:00:00,澳大利亞,布里斯本,孟加拉,吉大港,高雄港,9,9
2017/3/9 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,3,4
2017/3/9 上午 12:00:00,澳大利亞,布里斯本,泰國,曼谷,高雄港,2,4
2017/3/9 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,2,2
2017/3/9 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,1,2
2017/3/9 上午 12:00:00,澳大利亞,墨爾本,泰國,曼谷,高雄港,2,2
2017/3/9 上午 12:00:00,澳大利亞,墨爾本,泰國,萊卡邦港,高雄港,2,2
2017/3/9 上午 12:00:00,澳大利亞,墨爾本,越南,卡萊港,高雄港,1,2
2017/3/9 上午 12:00:00,澳大利亞,墨爾本,越南,Hai Phong,高雄港,1,1
2017/3/9 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,12,14
2017/3/9 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,8,15
2017/3/9 上午 12:00:00,澳大利亞,雪梨,馬來西亞,檳榔嶼/檳榔嶼/檳州,高雄港,79,79
2017/3/9 上午 12:00:00,澳大利亞,雪梨,菲律賓,卡加延－德奧羅,高雄港,12,24
2017/3/9 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,4,6
2017/3/9 上午 12:00:00,澳大利亞,雪梨,巴基斯坦,喀拉蚩,高雄港,30,30
2017/3/9 上午 12:00:00,澳大利亞,雪梨,泰國,曼谷,高雄港,1,1
2017/3/9 上午 12:00:00,澳大利亞,雪梨,越南,卡萊港,高雄港,2,4
2017/3/9 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,40,40
2017/3/9 上午 12:00:00,澳大利亞,雪梨,越南,胡志明,高雄港,2,2
2017/3/9 上午 12:00:00,馬來西亞,斗湖,巴基斯坦,喀拉蚩,高雄港,5,5
2017/3/9 上午 12:00:00,泰國,曼谷,泰國,曼谷,高雄港,1,2
2017/3/9 上午 12:00:00,越南,緬它,新加坡,新加坡港,高雄港,36,63
2017/3/10 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,古晉,高雄港,2,4
2017/3/13 上午 12:00:00,菲律賓,宿移,印度,那瓦夏瓦,高雄港,1,1
2017/3/13 上午 12:00:00,菲律賓,宿移,泰國,曼谷,高雄港,12,14
2017/3/13 上午 12:00:00,菲律賓,宿移,泰國,南查邦,高雄港,2,2
2017/3/13 上午 12:00:00,菲律賓,卡加延－德奧羅,澳大利亞,佛里曼特,高雄港,1,1
2017/3/13 上午 12:00:00,菲律賓,卡加延－德奧羅,澳大利亞,雪梨,高雄港,1,2
2017/3/13 上午 12:00:00,菲律賓,蘇比克灣,澳大利亞,佛里曼特,高雄港,1,1
2017/3/14 上午 12:00:00,馬來西亞,檳榔嶼/檳榔嶼/檳州,馬來西亞,檳榔嶼/檳榔嶼/檳州,高雄港,2,2
2017/3/14 上午 12:00:00,紐西蘭,陶蘭加,孟加拉,吉大港,高雄港,16,32
2017/3/14 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,卡加延－德奧羅,高雄港,62,76
2017/3/14 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,高雄港,88,116
2017/3/14 上午 12:00:00,泰國,南查邦,菲律賓,宿移,高雄港,6,8
2017/3/14 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉,高雄港,100,154
2017/3/14 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉南港,高雄港,8,10
2017/3/14 上午 12:00:00,越南,胡志明,菲律賓,馬尼拉,高雄港,32,36
2017/3/15 上午 12:00:00,馬來西亞,斗湖,印度,土堤柯林,高雄港,2,2
2017/3/15 上午 12:00:00,馬來西亞,斗湖,巴基斯坦,喀拉蚩,高雄港,2,4
2017/3/6 上午 12:00:00,馬來西亞,巴生港,越南,峴港,高雄港,2,2
2017/3/6 上午 12:00:00,菲律賓,宿移,泰國,曼谷,高雄港,2,2
2017/3/6 上午 12:00:00,菲律賓,卡加延－德奧羅,印度,那瓦夏瓦,高雄港,2,2
2017/3/6 上午 12:00:00,菲律賓,卡加延－德奧羅,泰國,曼谷,高雄港,2,2
2016/11/5 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,亞庇(哥打京那巴魯),高雄港,2,3
2017/3/5 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,巴生港,高雄港,6,6
2017/3/16 上午 12:00:00,澳大利亞,布里斯本,孟加拉,吉大港,高雄港,20,20
2017/3/16 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,10,10
2017/3/16 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,12,24
2017/3/16 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,2,4
2017/3/16 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉北港,高雄港,2,4
2017/3/16 上午 12:00:00,澳大利亞,湯斯維爾,印度尼西亞,泗水港,高雄港,6,12
2017/3/16 上午 12:00:00,澳大利亞,湯斯維爾,泰國,南查邦,高雄港,26,26
2017/3/22 上午 12:00:00,澳大利亞,布里斯本,印度,蒙得拉,高雄港,4,4
2017/3/22 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,6,6
2017/3/22 上午 12:00:00,澳大利亞,布里斯本,巴基斯坦,喀拉蚩,高雄港,30,30
2017/3/23 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,7,11
2017/3/23 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,9,9
2017/3/23 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,2,4
2017/3/23 上午 12:00:00,澳大利亞,墨爾本,泰國,曼谷,高雄港,2,2
2017/3/23 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,33,41
2017/3/23 上午 12:00:00,澳大利亞,墨爾本,越南,胡志明,高雄港,5,9
2017/3/23 上午 12:00:00,澳大利亞,雪梨,泰國,南查邦,高雄港,6,12
2017/3/23 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,26,52
2017/3/23 上午 12:00:00,越南,Cai Mep,新加坡,新加坡港,高雄港,1,2
