時間,進港/出港,港口國,港口,臺灣港口,貨櫃/非貨櫃,船舶種類,船舶國籍,總噸數,艘次
2016/3/3 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2016/4/23 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2016/6/17 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,41482,1
2016/6/18 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2016/7/16 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2016/8/5 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,41482,1
2016/8/13 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,65140,1
2021/5/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/5/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,18658,1
2021/5/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2021/5/1 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/5/1 上午 12:00:00,出港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,18658,1
2021/5/1 上午 12:00:00,出港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/6/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2021/6/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/6/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,17933,1
2021/6/1 上午 12:00:00,進港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,18658,1
2021/6/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
2021/6/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17211,1
2021/6/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,17887,1
