時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2016/11/10 上午 12:00:00,近洋航線,出港,卸貨,E204紐西蘭航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/1/26 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/1/26 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/1/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/1/27 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/3/30 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/3/30 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2019/9/6 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/12/1 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/8/30 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/10/11 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/10/12 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/10/18 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/12/27 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/11/12 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/11/23 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/10/27 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/10/31 上午 12:00:00,近洋航線,出港,卸貨,A104東北亞航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/12/6 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/12/22 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/11/18 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2020/1/11 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/10/12 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2016/7/16 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/4/30 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/6/5 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
